wof:id,gp:id
554721033,12776668
554763059,12784987
554769015,12769903
554763061,12785002
554763063,12785069
554739047,12787309
554763065,12785197
554764137,12795901
554763067,12785198
554776017,12789727
554764139,12795903
554771021,12778470
554763071,12785268
554776019,12789729
554764141,12795905
554763073,12785306
554776021,12789732
554700017,12760756
554763075,12785307
554768071,12766587
554763077,12785309
554763079,12785312
554764143,12795909
554763081,12785313
554763083,12785315
504785129,24505096
538968043,12780616
554763093,12785319
554768075,12766588
504784915,24505099
504785131,24505097
554768077,12766592
554763099,12785322
538968045,12786116
554768079,12766594
504784919,22503833
554763101,12785323
554768083,12766636
554770057,12775826
554760095,12769116
504784907,22503720
554768085,12766650
554760097,12769132
554770059,12775830
538968047,23509990
554768089,12766676
554760101,12769140
554768095,12766681
504784921,24505075
554760103,12769142
554752039,12796092
554768097,12766682
554760107,12769157
554760109,12769158
554760111,12769159
554760113,12769160
554768099,12766687
554760115,12769161
554768101,12766703
554760119,12769162
554770061,12775838
554760121,12769163
554770063,12775852
554760123,12769164
554768103,12766704
554770065,12775864
554760125,12769165
554768105,12766713
554760127,12769166
554770067,12775877
554760129,12769167
554770069,12775888
554768107,12766719
554760131,12769168
554770073,12775892
554768111,12766727
554760133,12769169
554770075,12775917
554760137,12769170
554760139,12769171
554762063,12776829
554760141,12769172
